,1
Mir6394,0.0
Mir146b,0.0
Gm6474,0.10544664086269341
Lgals1-ps2,0.0
Taf9,0.3888353189517739
Cpne9,13.687137375575215
Osr2,15.369729533763191
Gm6125,1.1007711534482916
Gm43318,0.04494996776413062
Rbak,12.31768582141743
Vmn1r-ps75,0.0
Vmn2r-ps44,0.0
Gm24969,0.0
Pik3ca,77.1504602919449
Crabp2,15.839678675865459
Gm25984,0.0
Cyp2d67-ps,0.0
Ighd5-1,0.0
Gm43016,0.0
Gm2726,0.46825899386310066
Gm15532,0.2056551514169196
Gm23384,0.0
Gm29994,0.3940734492602411
Gm28639,0.0
Gm23209,0.02247498388206531
Taar7f,0.0
S100g,112.09783837479392
Cd177,7.211451485505513
Gsto2,0.9987048090639299
Fkbp11,4.740209372024147
Gadd45gip1,11.759694577617037
Gm15448,0.5529207990828947
Myh11,477.3402216697437
Rnf146,13.563783138775047
Gm28888,0.038021689216497484
Slco6c1,0.23674856208578393
Immt,103.23723574004288
Mgam2-ps,53.24272558220249
1700003O11Rik,0.053568394550929654
Slc22a28,0.28338867808908047
Gm4732,0.0
Gm15489,0.4199287296206382
Gm8649,0.02247498388206531
Gm28402,0.0
Gm30332,0.0
Ces2b,2.4829054655645586
Gm48966,0.0
Gm27659,0.0
Gm21168,0.053568394550929654
Sh3bp4,97.54694731739079
Gm40689,0.0
Otoa,21.60073246965366
Crygb,0.8156923271200452
Gm42874,0.04494996776413062
Gm24420,0.0
Ly6g6e,2.384554788840468
E130218I03Rik,0.1917985943216533
Gm45178,0.0
Mir466f-4,0.0
Gm5063,0.06742495164619593
Hmgb1l,0.0
Gm23669,0.02247498388206531
Gm23798,0.0
Gm48210,0.2747702513022814
Fam71e1,2.470906742299428
Gm37116,0.1848703157740202
Gm44396,0.02247498388206531
Klrb1b,1.6849530487910203
Mageb10-ps,0.0
Rpl36-ps10,0.10544664086269341
Gm22050,0.0
Gm24871,0.0
Olfr1364,0.11575521588865836
Gm6749,0.09159008376742714
Olfr1296-ps1,0.0
Olfr74,0.0
Gm24732,0.0
Gas2l2,2.5161920812454976
Gm25022,0.0
G730003C15Rik,0.4942819598144673
Gm11450,0.06911509988536184
Mia3,123.03252487148131
Gm48394,0.0
Gm49234,0.0
Gm7363,4.121889140716161
1700008C04Rik,0.0
Gm28829,0.0
Gm13083,0.7518153575431507
Gm49934,0.0
Psmd9,29.477801752504867
Peg3,32.57193148523881
Gm43085,0.20041702110845236
Brox,42.423781009074304
Gm23775,0.015546705334432174
Gm49927,0.38190704040414075
Gm5821,0.0
Gm36951,0.0
Gm49949,0.0
Gm24238,0.0
Zfp783,29.993398189394078
6030452D12Rik,0.0829716569806281
Klra9,0.2212018567513518
1700113A16Rik,2.545595343675196
S1pr1,55.3150313642855
Vmn2r60,0.0
4933405O20Rik,0.2506051191810502
Ighv11-1,0.0
Pdcd5-ps,6.725955638068815
Gm13341,1.783974467878989
Sprr1a,174.90975689206192
Gm50441,0.0
Gja10,1.6400030810268895
Hhatl,11.58141716920871
Gm21778,0.0
Gm24944,0.15901503541362308
Ugt1a10,0.09851836231506028
Tep1,121.36536490235467
Gm27288,0.0
Phf5a,35.887933817087976
Kcnj13,0.4838056991975328
Gm16463,0.02247498388206531
Ak5,6.167796708677452
Defb20,0.2073452996560855
Slc37a1,61.97508451335631
Gm48998,0.0
Gm24276,0.02247498388206531
Gm7155,0.0
Gm3734,0.2506051191810502
Gm5481,0.09159008376742714
Gm26341,0.0
Gm16404,0.0
Gm20667,0.5356839455092965
E330040D14Rik,0.13823019977072368
Ranbp1,40.49513782732039
Gm17233,0.0604966730985628
Gm47284,0.053568394550929654
Pdcd2,0.0
Gm10205,0.0
Gm11937,0.02247498388206531
Gm22463,0.0
Gm10257,0.046640116003296525
Gm21908,0.0
AL928616.2,0.02247498388206531
BB019430,0.6377502898936582
Mfrp,0.3144820887579448
Gm47481,0.18318016753485428
Ntan1,32.206074206942006
Chrna1,23.02748137835212
Cep192,54.448608005331536
Ndufa12-ps,15.932623536690112
Gm44610,0.046640116003296525
Gm15263,0.015546705334432174
Gm6345,0.09159008376742714
Ptk6,6.265979699810574
4930448F12Rik,0.2695321209938142
Gvin1,0.08466180521979401
Dbp,13.135068296776641
D730002M21Rik,0.08466180521979401
Gm23099,0.0
Igkv2-93-1,0.0
Gm23718,0.0
Gm13582,0.311101792279613
Gm49966,0.02247498388206531
