,bulk_sample_1,scRNA_sample_1
Mir146b,0.0,0.0
Taf9,0.3888353189517739,20.657327467864164
Cpne9,13.687137375575215,2.228303013556996
Osr2,15.369729533763191,2.6829244616188666
Rbak,12.31768582141743,2.3762169200902012
Vmn1r-ps75,0.0,0.0
Vmn2r-ps44,0.0,0.0
Pik3ca,77.1504602919449,41.87392642549521
Crabp2,15.839678675865459,2.4530857536841113
Gm15532,0.2056551514169196,0.0
Taar7f,0.0,0.0
S100g,112.09783837479392,15.566396379055593
Cd177,7.211451485505513,17.498640817962837
Gsto2,0.9987048090639299,0.0
Fkbp11,4.740209372024147,0.0
Gadd45gip1,11.759694577617037,114.11623711602826
Gm15448,0.5529207990828947,0.0
Myh11,477.3402216697437,39.00254873930749
Rnf146,13.563783138775047,22.84358861801977
Slco6c1,0.23674856208578393,0.0
Immt,103.23723574004288,67.84269338681476
Slc22a28,0.28338867808908047,0.0
Gm4732,0.0,0.0
Gm15489,0.4199287296206382,0.0
Ces2b,2.4829054655645586,0.0
Sh3bp4,97.54694731739079,7.974397123156
Otoa,21.60073246965366,0.0
Crygb,0.8156923271200452,0.0
Ly6g6e,2.384554788840468,31.240206966628087
E130218I03Rik,0.1917985943216533,0.0
Mir466f-4,0.0,0.0
Hmgb1l,0.0,0.0
Fam71e1,2.470906742299428,5.287438368296519
Klrb1b,1.6849530487910203,3.368523172070901
Mageb10-ps,0.0,0.0
Rpl36-ps10,0.10544664086269341,0.0
Olfr1364,0.11575521588865836,0.0
Gm6749,0.09159008376742714,0.0
Olfr1296-ps1,0.0,0.0
Olfr74,0.0,0.0
Gas2l2,2.5161920812454976,0.0
Gm11450,0.06911509988536184,12.228932762423062
Gm7363,4.121889140716161,201.2731801290114
Gm13083,0.7518153575431507,0.0
Psmd9,29.477801752504867,42.17225099633114
Peg3,32.57193148523881,11.040356078089216
Zfp783,29.993398189394078,7.310974588556132
6030452D12Rik,0.0829716569806281,0.0
Klra9,0.2212018567513518,0.0
1700113A16Rik,2.545595343675196,0.0
S1pr1,55.3150313642855,12.494803285817058
Vmn2r60,0.0,0.0
4933405O20Rik,0.2506051191810502,0.0
Gm13341,1.783974467878989,27.21096845883347
Sprr1a,174.90975689206192,38.68755463886517
Gja10,1.6400030810268895,0.0
Hhatl,11.58141716920871,0.0
Ugt1a10,0.09851836231506028,0.0
Tep1,121.36536490235467,62.12844613664068
Phf5a,35.887933817087976,48.440892034348195
Kcnj13,0.4838056991975328,7.778993605667256
Gm16463,0.02247498388206531,0.0
Ak5,6.167796708677452,0.0
Defb20,0.2073452996560855,0.7239305374170738
Slc37a1,61.97508451335631,19.103905431746387
Gm7155,0.0,0.0
Gm5481,0.09159008376742714,0.0
